Protein,UKBB_PPP_exposure,uniprot,UKBB_PPP_HGNC,UKBB_PPP_Approved symbol,UKBB_PPP_OMIM_Gene_ID,UKBB_PPP_Ensembl_gene_ID,UKBB_PPP_NCBI_Gene_ID,UKBB_PPP_oid,UKBB_PPP_target_full_name,UKBB_PPP_platform,UKBB_PPP_panel
FUCA1,FUCA1:P04066:Cardiometabolic,P04066,4006,FUCA1,612280,ENSG00000179163,2517,OID20261,Tissue alpha-L-fucosidase,Olink Explore,Cardiometabolic_v1
FUS,FUS:P35637:Oncology,P35637,4010,FUS,137070,ENSG00000089280,2521,OID21256,RNA-binding protein FUS,Olink Explore,Oncology_v1
FUT1,FUT1:P19526:Oncology_II,P19526,4012,FUT1,211100,ENSG00000174951,2523,OID31295,"Galactoside alpha-(1,2)-fucosyltransferase 1",Olink Explore,Oncology_v1
FUT8,FUT8:Q9BYC5:Neurology,Q9BYC5,4019,FUT8,602589,ENSG00000033170,2530,OID20992,"Alpha-(1,6)-fucosyltransferase",Olink Explore,Neurology_v1
FXYD5,FXYD5:Q96DB9:Inflammation,Q96DB9,4029,FXYD5,606669,ENSG00000089327,53827,OID20463,FXYD domain-containing ion transport regulator 5,Olink Explore,Inflammation_v1
FYB1,FYB1:O15117:Neurology,O15117,4036,FYB1,602731,ENSG00000082074,2533,OID21140,FYN-binding protein 1,Olink Explore,Neurology_v1
FZD8,FZD8:Q9H461:Neurology_II,Q9H461,4046,FZD8,606146,ENSG00000177283,8325,OID30818,Frizzled-8,Olink Explore,Neurology_v1
GABARAP,GABARAP:O95166:Oncology_II,O95166,4067,GABARAP,605125,ENSG00000170296,11337,OID31414,Gamma-aminobutyric acid receptor-associated protein,Olink Explore,Oncology_v1
GAL,GAL:P22466:Inflammation,P22466,4114,GAL,137035,ENSG00000069482,51083,OID20727,Galanin peptides,Olink Explore,Inflammation_v1
GALNT2,GALNT2:Q10471:Oncology,Q10471,4124,GALNT2,602274,ENSG00000143641,2590,OID21423,Polypeptide N-acetylgalactosaminyltransferase 2,Olink Explore,Oncology_v1
GALNT3,GALNT3:Q14435:Inflammation,Q14435,4125,GALNT3,601756,ENSG00000115339,2591,OID20471,Polypeptide N-acetylgalactosaminyltransferase 3,Olink Explore,Inflammation_v1
GALNT5,GALNT5:Q7Z7M9:Cardiometabolic_II,Q7Z7M9,4127,GALNT5,615129,ENSG00000136542,11227,OID30295,Polypeptide N-acetylgalactosaminyltransferase 5,Olink Explore,Cardiometabolic_v1
GALNT7,GALNT7:Q86SF2:Oncology,Q86SF2,4129,GALNT7,605005,ENSG00000109586,51809,OID21377,N-acetylgalactosaminyltransferase 7,Olink Explore,Oncology_v1
GAPDH,GAPDH:P04406:Inflammation_II,P04406,4141,GAPDH,138400,ENSG00000111640,2597,OID30600,Glyceraldehyde-3-phosphate dehydrogenase,Olink Explore,Inflammation_v1
GART,GART:P22102:Neurology_II,P22102,4163,GART,138440,ENSG00000159131,2618,OID31004,Trifunctional purine biosynthetic protein adenosine-3,Olink Explore,Neurology_v1
GAST,GAST:P01350:Neurology_II,P01350,4164,GAST,137250,ENSG00000184502,2520,OID31083,Gastrin,Olink Explore,Neurology_v1
GAS2,GAS2:O43903:Oncology_II,O43903,4167,GAS2,602835,ENSG00000148935,2620,OID31285,Growth arrest-specific protein 2,Olink Explore,Oncology_v1
GAS6,GAS6:Q14393:Cardiometabolic,Q14393,4168,GAS6,600441,ENSG00000183087,2621,OID20318,Growth arrest-specific protein 6,Olink Explore,Cardiometabolic_v1
GBP1,GBP1:P32455:Neurology_II,P32455,4182,GBP1,600411,ENSG00000117228,2633,OID31128,Guanylate-binding protein 1,Olink Explore,Neurology_v1
GBP2,GBP2:P32456:Inflammation,P32456,4183,GBP2,600412,ENSG00000162645,2634,OID20489,Guanylate-binding protein 2,Olink Explore,Inflammation_v1
GC,GC:P02774:Inflammation_II,P02774,4187,GC,139200,ENSG00000145321,2638,OID30780,Vitamin D-binding protein,Olink Explore,Inflammation_v1
GCG,GCG:P01275:Oncology,P01275,4191,GCG,138030,ENSG00000115263,2641,OID21263,Pro-glucagon,Olink Explore,Oncology_v1
GCHFR,GCHFR:P30047:Inflammation_II,P30047,4194,GCHFR,602437,ENSG00000137880,2644,OID30631,GTP cyclohydrolase 1 feedback regulatory protein,Olink Explore,Inflammation_v1
GCNT1,GCNT1:Q02742:Oncology,Q02742,4203,GCNT1,600391,ENSG00000187210,2650,OID21379,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Olink Explore,Oncology_v1
GDF2,GDF2:Q9UK05:Cardiometabolic,Q9UK05,4217,GDF2,605120,ENSG00000263761,2658,OID20202,Growth/differentiation factor 2,Olink Explore,Cardiometabolic_v1
MSTN,MSTN:O14793:Cardiometabolic,O14793,4223,MSTN,601788,ENSG00000138379,2660,OID20115,Growth/differentiation factor 8,Olink Explore,Cardiometabolic_v1
GDNF,GDNF:P39905:Neurology,P39905,4232,GDNF,600837,ENSG00000168621,2668,OID20861,Glial cell line-derived neurotrophic factor,Olink Explore,Neurology_v1
GFAP,GFAP:P14136:Oncology,P14136,4235,GFAP,137780,ENSG00000131095,2670,OID21247,Glial fibrillary acidic protein,Olink Explore,Oncology_v1
GFER,GFER:P55789:Oncology,P55789,4236,GFER,600924,ENSG00000127554,2671,OID21259,FAD-linked sulfhydryl oxidase ALR,Olink Explore,Oncology_v1
GFRA1,GFRA1:P56159:Oncology,P56159,4243,GFRA1,601496,ENSG00000151892,2674,OID21457,GDNF family receptor alpha-1,Olink Explore,Oncology_v1
GFRA2,GFRA2:O00451:Oncology,O00451,4244,GFRA2,601956,ENSG00000168546,2675,OID21330,GDNF family receptor alpha-2,Olink Explore,Oncology_v1
GFRA3,GFRA3:O60609:Neurology,O60609,4245,GFRA3,605710,ENSG00000146013,2676,OID20933,GDNF family receptor alpha-3,Olink Explore,Neurology_v1
GGH,GGH:Q92820:Cardiometabolic,Q92820,4248,GGH,601509,ENSG00000137563,8836,OID20416,Gamma-glutamyl hydrolase,Olink Explore,Cardiometabolic_v1
GGT1,GGT1:P19440:Neurology,P19440,4250,GGT1,612346,ENSG00000100031,2678,OID21075,Glutathione hydrolase 1 proenzyme,Olink Explore,Neurology_v1
GGT5,GGT5:P36269:Neurology,P36269,4260,GGT5,137168,ENSG00000099998,2687,OID20909,Glutathione hydrolase 5 proenzyme,Olink Explore,Neurology_v1
GH2,GH2:P01242:Oncology,P01242,4262,GH2,139240,ENSG00000136487,2689,OID21168,Growth hormone variant,Olink Explore,Oncology_v1
GHR,GHR:P10912:Inflammation_II,P10912,4263,GHR,600946,ENSG00000112964,2690,OID30574,Growth hormone receptor,Olink Explore,Inflammation_v1
CBLIF,CBLIF:P27352:Cardiometabolic,P27352,4268,CBLIF,609342,ENSG00000134812,2694,OID20179,Cobalamin binding intrinsic factor,Olink Explore,Cardiometabolic_v1
GIP,GIP:P09681:Cardiometabolic_II,P09681,4270,GIP,137240,ENSG00000159224,2695,OID30288,Gastric inhibitory polypeptide,Olink Explore,Cardiometabolic_v1
GIT1,GIT1:Q9Y2X7:Inflammation_II,Q9Y2X7,4272,GIT1,608434,ENSG00000108262,28964,OID30533,ARF GTPase-activating protein GIT1,Olink Explore,Inflammation_v1
GLA,GLA:P06280:Inflammation_II,P06280,4296,GLA,300644,ENSG00000102393,2717,OID30594,Alpha-galactosidase A,Olink Explore,Inflammation_v1
GLB1,GLB1:P16278:Neurology,P16278,4298,GLB1,611458,ENSG00000170266,2720,OID20949,Beta-galactosidase,Olink Explore,Neurology_v1
GCLM,GCLM:P48507:Cardiometabolic_II,P48507,4312,GCLM,601176,ENSG00000023909,2730,OID30059,Glutamate--cysteine ligase regulatory subunit,Olink Explore,Cardiometabolic_v1
GLO1,GLO1:Q04760:Cardiometabolic,Q04760,4323,GLO1,138750,ENSG00000124767,2739,OID20107,Lactoylglutathione lyase,Olink Explore,Cardiometabolic_v1
GLP1R,GLP1R:P43220:Neurology_II,P43220,4324,GLP1R,138032,ENSG00000112164,2740,OID30809,Glucagon-like peptide 1 receptor,Olink Explore,Neurology_v1
GLRX,GLRX:P35754:Cardiometabolic,P35754,4330,GLRX,600443,ENSG00000173221,2745,OID20195,Glutaredoxin-1,Olink Explore,Cardiometabolic_v1
GM2A,GM2A:P17900:Cardiometabolic_II,P17900,4367,GM2A,613109,ENSG00000196743,2760,OID30413,Ganglioside GM2 activator,Olink Explore,Cardiometabolic_v1
GMFG,GMFG:O60234:Cardiometabolic_II,O60234,4374,GMFG,604104,ENSG00000130755,9535,OID30340,Glia maturation factor gamma,Olink Explore,Cardiometabolic_v1
GMPR,GMPR:P36959:Inflammation,P36959,4376,GMPR,139265,ENSG00000137198,2766,OID20641,GMP reductase 1,Olink Explore,Inflammation_v1
GMPR2,GMPR2:Q9P2T1:Inflammation_II,Q9P2T1,4377,GMPR2,610781,ENSG00000100938,51292,OID30623,GMP reductase 2,Olink Explore,Inflammation_v1
GNAS,GNAS:O95467:Neurology_II,O95467,4392,GNAS,139320,ENSG00000087460,2778,OID31008,Neuroendocrine secretory protein 55,Olink Explore,Neurology_v1
GNLY,GNLY:P22749:Neurology,P22749,4414,GNLY,188855,ENSG00000115523,10578,OID21132,Granulysin,Olink Explore,Neurology_v1
GNPDA1,GNPDA1:P46926:Cardiometabolic_II,P46926,4417,GNPDA1,601798,ENSG00000113552,10007,OID30197,Glucosamine-6-phosphate isomerase 1,Olink Explore,Cardiometabolic_v1
GOLGA3,GOLGA3:Q08378:Neurology_II,Q08378,4426,GOLGA3,602581,ENSG00000090615,2802,OID31026,Golgin subfamily A member 3,Olink Explore,Neurology_v1
GOT1,GOT1:P17174:Cardiometabolic_II,P17174,4432,GOT1,138180,ENSG00000120053,2805,OID30417,"Aspartate aminotransferase, cytoplasmic",Olink Explore,Cardiometabolic_v1
GP1BA,GP1BA:P07359:Cardiometabolic,P07359,4439,GP1BA,606672,ENSG00000185245,2811,OID20381,Platelet glycoprotein Ib alpha chain,Olink Explore,Cardiometabolic_v1
GP1BB,GP1BB:P13224:Cardiometabolic_II,P13224,4440,GP1BB,138720,ENSG00000203618,2812,OID30174,Platelet glycoprotein Ib beta chain,Olink Explore,Cardiometabolic_v1
GP2,GP2:P55259:Cardiometabolic,P55259,4441,GP2,602977,ENSG00000169347,2813,OID20090,Pancreatic secretory granule membrane major glycoprotein GP2,Olink Explore,Cardiometabolic_v1
GP5,GP5:P40197:Inflammation_II,P40197,4443,GP5,173511,ENSG00000178732,2814,OID30611,Platelet glycoprotein V,Olink Explore,Inflammation_v1
GPA33,GPA33:Q99795:Oncology,Q99795,4445,GPA33,602171,ENSG00000143167,10223,OID21376,Cell surface A33 antigen,Olink Explore,Oncology_v1
GPC1,GPC1:P35052:Oncology,P35052,4449,GPC1,600395,ENSG00000063660,2817,OID21438,Glypican-1,Olink Explore,Oncology_v1
GPC5,GPC5:P78333:Neurology,P78333,4453,GPC5,602446,ENSG00000179399,2262,OID20944,Glypican-5,Olink Explore,Neurology_v1
GPD1,GPD1:P21695:Oncology_II,P21695,4455,GPD1,138420,ENSG00000167588,2819,OID31358,Glycerol-3-phosphate dehydrogenase,Olink Explore,Oncology_v1
GPI,GPI:P06744:Inflammation_II,P06744,4458,GPI,172400,ENSG00000105220,2821,OID30680,Glucose-6-phosphate isomerase,Olink Explore,Inflammation_v1
GPNMB,GPNMB:Q14956:Cardiometabolic,Q14956,4462,GPNMB,604368,ENSG00000136235,10457,OID20173,Transmembrane glycoprotein NMB,Olink Explore,Cardiometabolic_v1
GPR37,GPR37:O15354:Cardiometabolic,O15354,4494,GPR37,602583,ENSG00000170775,2861,OID20095,Prosaposin receptor GPR37,Olink Explore,Cardiometabolic_v1
ADGRG1,ADGRG1:Q9Y653:Oncology,Q9Y653,4512,ADGRG1,604110,ENSG00000205336,9289,OID21294,Adhesion G-protein coupled receptor G1,Olink Explore,Oncology_v1
ADGRG2,ADGRG2:Q8IZP9:Cardiometabolic,Q8IZP9,4516,ADGRG2,300572,ENSG00000173698,10149,OID20189,Adhesion G-protein coupled receptor G2,Olink Explore,Cardiometabolic_v1
GRK5,GRK5:P34947:Cardiometabolic,P34947,4544,GRK5,600870,ENSG00000198873,2869,OID20066,G protein-coupled receptor kinase 5,Olink Explore,Cardiometabolic_v1
GRAP2,GRAP2:O75791:Cardiometabolic,O75791,4563,GRAP2,604518,ENSG00000100351,9402,OID20192,GRB2-related adapter protein 2,Olink Explore,Cardiometabolic_v1
GRHPR,GRHPR:Q9UBQ7:Cardiometabolic_II,Q9UBQ7,4570,GRHPR,604296,ENSG00000137106,9380,OID30289,Glyoxylate reductase/hydroxypyruvate reductase,Olink Explore,Cardiometabolic_v1
GRIK2,GRIK2:Q13002:Neurology_II,Q13002,4580,GRIK2,138244,ENSG00000164418,2898,OID30977,"Glutamate receptor ionotropic, kainate 2",Olink Explore,Neurology_v1
GRN,GRN:P28799:Neurology,P28799,4601,GRN,138945,ENSG00000030582,2896,OID21159,Progranulin,Olink Explore,Neurology_v1
CXCL1,CXCL1:P09341:Inflammation,P09341,4602,CXCL1,155730,ENSG00000163739,2919,OID20762,Growth-regulated alpha protein,Olink Explore,Inflammation_v1
CXCL3,CXCL3:P19876:Inflammation,P19876,4604,CXCL3,139111,ENSG00000163734,2921,OID20788,C-X-C motif chemokine 3,Olink Explore,Inflammation_v1
GRP,GRP:P07492:Cardiometabolic_II,P07492,4605,GRP,137260,ENSG00000134443,2922,OID30264,Gastrin-releasing peptide,Olink Explore,Cardiometabolic_v1
PDIA3,PDIA3:P30101:Inflammation_II,P30101,4606,PDIA3,602046,ENSG00000167004,2923,OID30573,Protein disulfide-isomerase A3,Olink Explore,Inflammation_v1
GRSF1,GRSF1:Q12849:Oncology_II,Q12849,4610,GRSF1,604851,ENSG00000132463,2926,OID31224,G-rich sequence factor 1,Olink Explore,Oncology_v1
GSN,GSN:P06396:Inflammation_II,P06396,4620,GSN,137350,ENSG00000148180,2934,OID30714,Gelsolin,Olink Explore,Inflammation_v1
GSR,GSR:P00390:Inflammation_II,P00390,4623,GSR,138300,ENSG00000104687,2936,OID30700,"Glutathione reductase, mitochondrial",Olink Explore,Inflammation_v1
GSTA1,GSTA1:P08263:Cardiometabolic,P08263,4626,GSTA1,138359,ENSG00000243955,2938,OID20166,Glutathione S-transferase A1,Olink Explore,Cardiometabolic_v1
GSTA3,GSTA3:Q16772:Oncology,Q16772,4628,GSTA3,605449,ENSG00000174156,2940,OID21242,Glutathione S-transferase A3,Olink Explore,Oncology_v1
GSTM4,GSTM4:Q03013:Cardiometabolic_II,Q03013,4636,GSTM4,138333,ENSG00000168765,2948,OID30164,Glutathione S-transferase Mu 4,Olink Explore,Cardiometabolic_v1
GSTP1,GSTP1:P09211:Neurology,P09211,4638,GSTP1,134660,ENSG00000084207,2950,OID20876,Glutathione S-transferase P,Olink Explore,Neurology_v1
GTF2IRD1,GTF2IRD1:Q9UHL9:Oncology_II,Q9UHL9,4661,GTF2IRD1,604318,ENSG00000006704,9569,OID31264,General transcription factor II-I repeat domain-containing protein 1,Olink Explore,Oncology_v1
GTPBP2,GTPBP2:Q9BX10:Neurology_II,Q9BX10,4670,GTPBP2,607434,ENSG00000172432,54676,OID30946,GTP-binding protein 2,Olink Explore,Neurology_v1
GUCA2A,GUCA2A:Q02747:Neurology,Q02747,4682,GUCA2A,139392,ENSG00000197273,2980,OID21101,Guanylin,Olink Explore,Neurology_v1
GUCY2C,GUCY2C:P25092:Oncology_II,P25092,4688,GUCY2C,601330,ENSG00000070019,2984,OID31318,Heat-stable enterotoxin receptor,Olink Explore,Oncology_v1
GUSB,GUSB:P08236:Cardiometabolic,P08236,4696,GUSB,611499,ENSG00000169919,2990,OID20296,Beta-glucuronidase,Olink Explore,Cardiometabolic_v1
GYS1,GYS1:P13807:Cardiometabolic,P13807,4706,GYS1,138570,ENSG00000104812,2997,OID20097,"Glycogen [starch] synthase, muscle",Olink Explore,Cardiometabolic_v1
GZMA,GZMA:P12544:Inflammation,P12544,4708,GZMA,140050,ENSG00000145649,3001,OID20663,Granzyme A,Olink Explore,Inflammation_v1
GZMB,GZMB:P10144:Inflammation,P10144,4709,GZMB,123910,ENSG00000100453,3002,OID20604,Granzyme B,Olink Explore,Inflammation_v1
GZMH,GZMH:P20718:Cardiometabolic,P20718,4710,GZMH,116831,ENSG00000100450,2999,OID20096,Granzyme H,Olink Explore,Cardiometabolic_v1
HADH,HADH:Q16836:Cardiometabolic_II,Q16836,4799,HADH,601609,ENSG00000138796,3033,OID30132,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Olink Explore,Cardiometabolic_v1
HAGH,HAGH:Q16775:Oncology,Q16775,4805,HAGH,138760,ENSG00000063854,3029,OID21459,"Hydroxyacylglutathione hydrolase, mitochondrial",Olink Explore,Oncology_v1
HAO1,HAO1:Q9UJM8:Oncology,Q9UJM8,4809,HAO1,605023,ENSG00000101323,54363,OID21395,Hydroxyacid oxidase 1,Olink Explore,Oncology_v1
HARS1,HARS1:P12081:Neurology,P12081,4816,HARS1,142810,ENSG00000170445,3035,OID21086,"Histidine--tRNA ligase, cytoplasmic",Olink Explore,Neurology_v1
HBQ1,HBQ1:P09105:Oncology,P09105,4833,HBQ1,142240,ENSG00000086506,3049,OID21433,Hemoglobin subunit theta-1,Olink Explore,Oncology_v1
HBZ,HBZ:P02008:Cardiometabolic_II,P02008,4835,HBZ,142310,ENSG00000130656,3050,OID30307,Hemoglobin subunit zeta,Olink Explore,Cardiometabolic_v1
SERPIND1,SERPIND1:P05546:Inflammation_II,P05546,4838,SERPIND1,142360,ENSG00000099937,3053,OID30767,Heparin cofactor 2,Olink Explore,Inflammation_v1
HCLS1,HCLS1:P14317:Inflammation,P14317,4844,HCLS1,601306,ENSG00000180353,3059,OID20648,Hematopoietic lineage cell-specific protein,Olink Explore,Inflammation_v1
HDGF,HDGF:P51858:Oncology,P51858,4856,HDGF,600339,ENSG00000143321,3068,OID21455,Hepatoma-derived growth factor,Olink Explore,Oncology_v1
HEPH,HEPH:Q9BQS7:Cardiometabolic_II,Q9BQS7,4866,HEPH,300167,ENSG00000089472,9843,OID30337,Hephaestin,Olink Explore,Cardiometabolic_v1
CFH,CFH:P08603:Inflammation_II,P08603,4883,CFH,134370,ENSG00000000971,3075,OID30790,Complement factor H,Olink Explore,Inflammation_v1
HJV,HJV:Q6ZVN8:Neurology_II,Q6ZVN8,4887,HJV,608374,ENSG00000168509,148738,OID31006,Hemojuvelin,Olink Explore,Neurology_v1
CFHR2,CFHR2:P36980:Inflammation_II,P36980,4890,CFHR2,600889,ENSG00000080910,3080,OID30720,Complement factor H-related protein 2,Olink Explore,Inflammation_v1
HGF,HGF:P14210:Inflammation,P14210,4893,HGF,142409,ENSG00000019991,3082,OID20656,Hepatocyte growth factor,Olink Explore,Inflammation_v1
HGFAC,HGFAC:Q04756:Inflammation_II,Q04756,4894,HGFAC,604552,ENSG00000109758,3083,OID30718,Hepatocyte growth factor activator,Olink Explore,Inflammation_v1
HGS,HGS:O14964:Oncology,O14964,4897,HGS,604375,ENSG00000185359,9146,OID21175,Hepatocyte growth factor-regulated tyrosine kinase substrate,Olink Explore,Oncology_v1
HHEX,HHEX:Q03014:Neurology_II,Q03014,4901,HHEX,604420,ENSG00000152804,3087,OID31107,Hematopoietically-expressed homeobox protein HHEX,Olink Explore,Neurology_v1
HIP1,HIP1:O00291:Cardiometabolic_II,O00291,4913,HIP1,601767,ENSG00000127946,3092,OID30071,Huntingtin-interacting protein 1,Olink Explore,Cardiometabolic_v1
PFDN6,PFDN6:O15212:Neurology_II,O15212,4926,PFDN6,605660,ENSG00000204220,10471,OID30938,Prefoldin subunit 6,Olink Explore,Neurology_v1
HLA-A,HLA-A:P04439:Neurology_II,P04439,4931,HLA-A,142800,ENSG00000206503,3105,OID31048,"HLA class I histocompatibility antigen, A alpha chain",Olink Explore,Neurology_v1
HLA-DRA,HLA-DRA:P01903:Inflammation,P01903,4947,HLA-DRA,142860,ENSG00000204287,3122,OID20520,"HLA class II histocompatibility antigen, DR alpha chain",Olink Explore,Inflammation_v1
HLA-E,HLA-E:P13747:Inflammation,P13747,4962,HLA-E,143010,ENSG00000204592,3133,OID20532,"HLA class I histocompatibility antigen, alpha chain E",Olink Explore,Inflammation_v1
HMBS,HMBS:P08397:Oncology,P08397,4982,HMBS,609806,ENSG00000256269,3145,OID21385,Porphobilinogen deaminase,Olink Explore,Oncology_v1
HMGCL,HMGCL:P35914:Cardiometabolic_II,P35914,5005,HMGCL,613898,ENSG00000117305,3155,OID30214,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",Olink Explore,Cardiometabolic_v1
HMGCS1,HMGCS1:Q01581:Cardiometabolic_II,Q01581,5007,HMGCS1,142940,ENSG00000112972,3157,OID30157,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",Olink Explore,Cardiometabolic_v1
HMOX1,HMOX1:P09601:Cardiometabolic,P09601,5013,HMOX1,141250,ENSG00000100292,3162,OID20217,Heme oxygenase 1,Olink Explore,Cardiometabolic_v1
HMOX2,HMOX2:P30519:Neurology,P30519,5014,HMOX2,141251,ENSG00000103415,3163,OID20887,Heme oxygenase 2,Olink Explore,Neurology_v1
HNMT,HNMT:P50135:Neurology,P50135,5028,HNMT,605238,ENSG00000150540,3176,OID20975,Histamine N-methyltransferase,Olink Explore,Neurology_v1
HNRNPK,HNRNPK:P61978:Cardiometabolic,P61978,5044,HNRNPK,600712,ENSG00000165119,3190,OID20051,Heterogeneous nuclear ribonucleoprotein K,Olink Explore,Cardiometabolic_v1
HPCAL1,HPCAL1:P37235:Inflammation,P37235,5145,HPCAL1,600207,ENSG00000115756,3241,OID20615,Hippocalcin-like protein 1,Olink Explore,Inflammation_v1
HPSE,HPSE:Q9Y251:Cardiometabolic_II,Q9Y251,5164,HPSE,604724,ENSG00000173083,10855,OID30409,Heparanase,Olink Explore,Cardiometabolic_v1
HRC,HRC:P23327:Cardiometabolic_II,P23327,5178,HRC,142705,ENSG00000130528,3270,OID30211,Sarcoplasmic reticulum histidine-rich calcium-binding protein,Olink Explore,Cardiometabolic_v1
HRG,HRG:P04196:Inflammation_II,P04196,5181,HRG,142640,ENSG00000113905,3273,OID30770,Histidine-rich glycoprotein,Olink Explore,Inflammation_v1
HS3ST3B1,HS3ST3B1:Q9Y662:Oncology,Q9Y662,5198,HS3ST3B1,604058,ENSG00000125430,9953,OID21303,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1,Olink Explore,Oncology_v1
HS6ST1,HS6ST1:O60243:Oncology,O60243,5201,HS6ST1,604846,ENSG00000136720,9394,OID21441,Heparan-sulfate 6-O-sulfotransferase 1,Olink Explore,Oncology_v1
HSBP1,HSBP1:O75506:Cardiometabolic_II,O75506,5203,HSBP1,604553,ENSG00000230989,3281,OID30232,Heat shock factor-binding protein 1,Olink Explore,Cardiometabolic_v1
HSD11B1,HSD11B1:P28845:Inflammation,P28845,5208,HSD11B1,600713,ENSG00000117594,3290,OID20575,Corticosteroid 11-beta-dehydrogenase isozyme 1,Olink Explore,Inflammation_v1
DNAJB2,DNAJB2:P25686:Inflammation_II,P25686,5228,DNAJB2,604139,ENSG00000135924,3300,OID30661,DnaJ homolog subfamily B member 2,Olink Explore,Inflammation_v1
HSPA1A,HSPA1A:P0DMV8:Inflammation,P0DMV8,5232,HSPA1A,140550,ENSG00000204389,3303,OID20718,Heat shock 70 kDa protein 1A,Olink Explore,Inflammation_v1
HSPA2,HSPA2:P54652:Oncology_II,P54652,5235,HSPA2,140560,ENSG00000126803,3306,OID31424,Heat shock-related 70 kDa protein 2,Olink Explore,Oncology_v1
HSPB1,HSPB1:P04792:Cardiometabolic,P04792,5246,HSPB1,602195,ENSG00000106211,3315,OID20230,Heat shock protein beta-1,Olink Explore,Cardiometabolic_v1
DNAJB1,DNAJB1:P25685:Oncology,P25685,5270,DNAJB1,604572,ENSG00000132002,3337,OID21363,DnaJ homolog subfamily B member 1,Olink Explore,Oncology_v1
HSPG2,HSPG2:P98160:Cardiometabolic,P98160,5273,HSPG2,142461,ENSG00000142798,3339,OID20383,Basement membrane-specific heparan sulfate proteoglycan core protein,Olink Explore,Cardiometabolic_v1
TNC,TNC:P24821:Cardiometabolic,P24821,5318,TNC,187380,ENSG00000041982,3371,OID20359,Tenascin,Olink Explore,Cardiometabolic_v1
HYAL1,HYAL1:Q12794:Cardiometabolic,Q12794,5320,HYAL1,607071,ENSG00000114378,3373,OID20357,Hyaluronidase-1,Olink Explore,Cardiometabolic_v1
ICA1,ICA1:Q05084:Inflammation,Q05084,5343,ICA1,147625,ENSG00000003147,3382,OID20484,Islet cell autoantigen 1,Olink Explore,Inflammation_v1
ICAM1,ICAM1:P05362:Cardiometabolic,P05362,5344,ICAM1,147840,ENSG00000090339,3383,OID20411,Intercellular adhesion molecule 1,Olink Explore,Cardiometabolic_v1
ICAM2,ICAM2:P13598:Cardiometabolic,P13598,5345,ICAM2,146630,ENSG00000108622,3384,OID20248,Intercellular adhesion molecule 2,Olink Explore,Cardiometabolic_v1
ICAM3,ICAM3:P32942:Cardiometabolic,P32942,5346,ICAM3,146631,ENSG00000076662,3385,OID20277,Intercellular adhesion molecule 3,Olink Explore,Cardiometabolic_v1
ICAM4,ICAM4:Q14773:Inflammation,Q14773,5347,ICAM4,614088,ENSG00000105371,3386,OID20578,Intercellular adhesion molecule 4,Olink Explore,Inflammation_v1
ICAM5,ICAM5:Q9UMF0:Cardiometabolic,Q9UMF0,5348,ICAM5,601852,ENSG00000105376,7087,OID20145,Intercellular adhesion molecule 5,Olink Explore,Cardiometabolic_v1
MRPL58,MRPL58:Q14197:Neurology_II,Q14197,5359,MRPL58,603000,ENSG00000167862,3396,OID31036,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",Olink Explore,Neurology_v1
ID4,ID4:P47928:Oncology_II,P47928,5363,ID4,600581,ENSG00000172201,3400,OID31284,DNA-binding protein inhibitor ID-4,Olink Explore,Oncology_v1
IDS,IDS:P22304:Inflammation,P22304,5389,IDS,300823,ENSG00000010404,3423,OID20619,Iduronate 2-sulfatase,Olink Explore,Inflammation_v1
